Platform,Source,Traffic %
Website,Direct traffic,23
YouTube,YouTube Video,14
Website,Traffic from Google,2
Website,Traffic from Facebook,6
Facebook,Facebook video,27
Facebook,Facebook images,4
Snapchat,Snapchat,21
Other,Other,3
